trump_word,trump_count,trump_frequency,trump_syllable,,obama_word,obama_frequency,obama_count,obama_syllable
record,262,0.000596861,2,,making,0.000738881,78,2
believe,184,0.00041917,2,,looking,0.000123147,13,2
families,135,0.000307543,3,,countries,8.53E-05,9,2
tonight,223,0.000508015,2,,stand,1.24E-03,131,1
corrupt,292,0.000665204,2,,since,0.000786245,83,1
washington,248,0.000564968,3,,thats,0.001089376,115,1
put,220,0.000501181,1,,soon,4.74E-05,5,1
everyone,225,0.000512572,3,,court,1.61E-04,17,1
fbi,289,0.00065837,1,,think,0.000577843,61,1
making,211,0.000480678,2,,agree,0.001809312,191,2
radical,288,0.000656092,3,,thing,0.000757827,80,1
looking,274,0.000624198,2,,numbers,4.74E-05,5,2
countries,278,0.000633311,2,,report,1.14E-04,12,2
stand,155,0.000353105,1,,romney,0.002510302,265,2
since,202,0.000460175,1,,reform,0.001932459,204,2
thats,170,0.000387276,1,,government,0.000587316,62,3
soon,279,0.000635589,1,,second,0.000217875,23,2
court,267,0.000608252,1,,amendment,5.68E-05,6,3
think,223,0.000508015,1,,immigration,7.29E-04,77,4
agree,92,0.000209585,2,,story,0.000331549,35,2
thing,202,0.000460175,1,,nation,0.000975702,103,2
numbers,275,0.000626476,2,,high,0.000284185,30,1
report,267,0.000608252,2,,family,0.000956757,101,3
romney,14,3.19E-05,2,,im,0.001307251,138,1
reform,74,0.000168579,2,,order,3.79E-05,4,2
government,216,0.000492069,3,,including,1.14E-04,12,3
second,254,0.000578636,2,,wrong,0.000189457,20,1
amendment,270,0.000615086,3,,york,0.000104201,11,1
immigration,199,0.000453341,4,,vets,1.89E-05,2,1
story,240,0.000546743,2,,real,5.78E-04,61,1
nation,172,0.000391833,2,,place,0.000407332,43,1
impeachment,274,0.000624198,3,,illegal,4.74E-05,5,3
high,242,0.000551299,1,,plan,1.71E-03,180,1
family,170,0.000387276,3,,live,0.001411453,149,1
im,130,0.000296153,1,,wonderful,1.89E-05,2,3
order,262,0.000596861,2,,next,8.05E-04,85,1
including,252,0.00057408,3,,true,8.53E-05,9,1
wrong,243,0.000553577,1,,hoax,1.89E-05,2,1
york,249,0.000567246,1,,justice,2.18E-04,23,2
vets,258,0.000587749,1,,meeting,0.000123147,13,2
real,198,0.000451063,1,,florida,0.000151565,16,3
hillary,259,0.000590027,3,,john,0.000104201,11,1
place,214,0.000487513,1,,mexico,2.84E-05,3,3
illegal,251,0.000571802,3,,show,4.64E-04,49,1
plan,74,0.000168579,1,,incredible,6.63E-05,7,4
mueller,254,0.000578636,2,,open,2.75E-04,29,2
live,104,0.000236922,1,,votes,0.000208402,22,1
wonderful,251,0.000571802,3,,korea,9.47E-06,1,2
next,165,0.000375886,1,,days,9.66E-04,102,1
true,238,0.000542187,1,,political,0.000104201,11,4
hoax,244,0.000555856,1,,future,0.000824137,87,2
justice,223,0.000508015,2,,companies,0.000549425,58,3
meeting,232,0.000528518,2,,massive,3.79E-05,4,2
florida,227,0.000517128,3,,pennsylvania,4.74E-05,5,4
john,230,0.000523962,1,,cuts,6.63E-04,70,1
mexico,237,0.000539909,3,,protect,0.000350495,37,2
show,190,0.000432838,1,,home,0.000672571,71,1
incredible,232,0.000528518,4,,senator,0.000123147,13,3
open,209,0.000476122,2,,billion,0.000359968,38,2
votes,213,0.000485235,1,,millions,0.000843082,89,2
korea,234,0.000533075,2,,cut,0.000852555,90,1
days,132,0.000300709,1,,times,0.000274712,29,1
political,221,0.000503459,4,,happen,0.00019893,21,2
future,144,0.000328046,2,,fighting,0.000786245,83,2
companies,171,0.000389554,3,,tell,0.001212523,128,1
massive,224,0.000510294,2,,energy,0.000663099,70,3
pennsylvania,223,0.000508015,4,,clinton,0.000227348,24,2
cuts,156,0.000355383,1,,full,0.000397859,42,1
protect,188,0.000428282,2,,still,0.000956757,101,1
book,224,0.000510294,1,,life,0.000587316,62,1
home,152,0.000346271,1,,thanks,0.000947284,100,1
nancy,222,0.000505737,2,,congressman,2.84E-05,3,3
senator,209,0.000476122,3,,presidential,9.47E-05,10,4
billion,184,0.00041917,2,,youre,1.69E-03,178,1
millions,133,0.000302987,2,,already,0.000274712,29,3
cut,131,0.000298431,1,,economic,0.000606262,64,4
times,191,0.000435116,1,,ago,0.000615734,65,1
happen,197,0.000448785,2,,ready,0.000625207,66,2
pelosi,218,0.000496625,3,,sure,0.001278833,135,1
fighting,134,0.000305265,2,,office,0.000464169,49,2
tell,88,0.000200472,1,,read,0.000606262,64,1
energy,144,0.000328046,3,,lost,0.000236821,25,1
clinton,190,0.000432838,2,,tremendous,9.47E-06,1,3
full,171,0.000389554,1,,wont,4.93E-04,52,1
still,112,0.000255147,1,,tomorrow,0.00050206,53,3
life,150,0.000341714,1,,case,0.000208402,22,1
thanks,111,0.000252869,1,,remember,0.000161038,17,3
congressman,208,0.000473844,3,,wants,0.000227348,24,1
presidential,201,0.000457897,4,,away,0.000511533,54,2
